player,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency,primary_position
Line ELLERTSEN,3,1351.9,1444.5,84,194.8,79.8,PL
Emilie BECH,5,1351.9,1386.0,108,103.0,41.8,HF
Morten BJØRNSHAUGE,7,1351.8,1446.8,152,143.3,83.7,ST
Hákun West Av TEIGUM,3,1351.7,1471.2,78,234.8,95.9,HF
Anna Berger WIERZBA,4,1351.1,1419.4,100,141.4,59.3,PL
Julie SCAGLIONE,4,1351.1,1401.8,88,113.1,57.8,PL
Emil LÆRKE,6,1350.8,1434.2,145,140.2,72.6,PL
Sanna SOLBERG,5,1350.4,1414.4,112,139.7,51.8,VF
Christoffer DREYER,4,1350.4,1462.1,61,255.3,107.8,PL
Amalie WULFF,5,1350.2,1414.4,123,182.8,76.2,ST
Silje BRØNS,3,1349.3,1443.1,63,151.8,67.0,PL
Freja COHRT,8,1349.0,1426.2,158,138.6,60.7,VF
Maria Mose VESTERGAARD,5,1348.8,1442.4,101,218.9,86.4,VF
Andreas VÆVER,5,1348.7,1425.2,109,101.7,51.9,VF
Andrea West BENDTSEN,7,1348.5,1431.3,155,159.1,68.7,PL
August WIGER,4,1348.4,1388.6,81,119.9,46.8,PL
Jesper DAHL,5,1348.1,1471.0,126,-43.8,75.8,HB
Helene Gigstad FAUSKE,3,1347.5,1433.8,62,221.3,96.7,PL
Johanna WESTBERG,5,1347.1,1461.0,75,144.5,74.9,VB
Frida Høgaard NIELSEN,3,1346.6,1426.8,58,217.5,97.5,PL
Mikkel LANG,4,1346.5,1411.9,67,138.5,62.8,HF
Ayaka IKEHARA,7,1346.4,1417.1,132,212.8,77.6,HF
Jonas PORUP,8,1346.1,1414.7,154,92.6,55.9,PL
Ludvig HALLBÄCK,3,1346.0,1429.9,92,169.8,69.3,PL
Line HAUGSTED,6,1345.1,1460.1,154,22.3,85.6,PL
Sofia DEEN,5,1345.0,1467.1,131,113.4,79.7,PL
Thilde FRANDSEN,5,1344.7,1414.9,119,160.4,52.4,HF
Sonja FREY,3,1344.2,1399.6,73,128.2,53.8,PL
Pernille BRANDENBORG,5,1344.1,1434.2,118,163.9,56.6,ST
Martin LARSEN,7,1343.8,1474.0,136,-132.5,83.3,HB
Jakob RASMUSSEN,4,1343.4,1439.3,112,209.3,78.0,PL
Louise ELLEBÆK,8,1343.2,1547.7,142,190.4,98.4,PL
Mette TRANBORG,6,1343.0,1475.7,158,26.4,87.1,HB
Lauritz LEGÉR,5,1342.8,1402.2,98,144.0,47.2,PL
Viktor NEVERS,5,1341.9,1427.9,90,188.2,82.7,HF
Maria HJERTNER,3,1341.5,1398.7,72,119.4,48.9,HB
Annika JAKOBSEN,6,1340.7,1423.0,127,177.8,68.9,HF
Christoffer BONDE,4,1339.4,1431.3,43,193.6,72.3,MV
Jørgen RASMUSSEN,6,1338.6,1401.3,92,154.3,65.2,VF
Verona REXHEPI,3,1338.0,1466.4,59,264.5,108.1,PL
Jonas LANGERHUUS,5,1337.9,1455.8,98,20.5,71.1,PL
Oscar BERGENDAHL,4,1337.1,1393.3,103,134.1,58.2,ST
Maren AARDAHL,4,1337.0,1400.8,105,161.2,64.5,ST
Mia REJ,6,1336.7,1416.9,90,115.6,63.5,PL
Jeppe Gade NIELSEN,3,1336.1,1493.0,40,280.5,116.9,PL
Jon ANDERSEN,4,1336.0,1436.8,92,195.6,73.9,PL
Annette JENSEN,5,1336.0,1412.9,110,169.2,71.8,PL
Axel FRANZÉN,4,1335.8,1372.3,78,86.4,32.8,ST
Rene ANTONSEN,5,1335.3,1401.9,126,146.1,62.5,ST
Charlotte Lund MIKKELSEN,3,1335.2,1371.0,64,88.1,37.8,HF
Rasmus Meyer EJLERSEN,4,1335.1,1406.2,110,157.8,62.7,ST
Patrick BOLDSEN,5,1335.0,1429.8,83,226.9,78.4,HF
William BOGOJEVIC,3,1334.9,1459.6,97,-29.0,88.9,PL
Estavana POLMAN,6,1334.0,1434.3,66,111.0,72.9,PL
Olivia SIMONSEN,6,1334.0,1430.7,76,229.4,83.8,ST
Clara SKØTT,5,1334.0,1407.0,81,178.0,69.6,HF
Mikkel Kjær MØLLER,3,1333.7,1390.8,74,131.5,55.1,VF
Louisa MITTET,3,1333.7,1368.3,55,86.7,43.0,PL
Emil GRØNBECH,3,1333.4,1410.5,49,136.7,78.0,HB
Tobias ELLEBÆK,4,1333.3,1439.7,91,-103.2,86.0,VB
Alberte SIMONSEN,5,1333.2,1397.9,101,174.8,71.3,ST
Alec SMIT,5,1333.1,1386.0,82,136.9,53.6,HF
Nanna HINNERFELDT,4,1333.0,1420.7,94,183.5,74.9,ST
Jens PESCHARDT,3,1332.9,1413.7,75,159.7,65.2,PL
Maria FISKER,6,1332.8,1399.1,125,125.4,54.5,VF
Lærke Nolsøe PEDERSEN,3,1332.6,1434.1,60,223.1,92.2,VF
Frederikke GULMARK,5,1332.0,1413.8,107,12.4,53.9,VB
Alberte KIELSTRUP,4,1331.9,1417.9,103,202.9,84.6,PL
Julius MØRCH,4,1331.8,1388.8,76,177.0,71.1,ST
Jakob FREDERIKSEN,5,1331.7,1392.7,90,131.4,62.2,HF
Laura Holm ANDERSEN,5,1331.2,1443.3,77,242.0,92.6,VF
Jane MEJLVANG,7,1331.0,1471.6,133,236.9,92.3,PL
Anders EGGERT,4,1330.9,1371.2,83,101.5,38.1,VF
Bo VAN WETERING,3,1330.2,1379.6,77,118.8,50.5,VF
Niels LINDHOLT,6,1329.7,1474.0,108,142.6,84.1,ST
Sofie OLSEN,3,1329.5,1359.2,64,70.2,29.7,HF
Rosa Skovlund SCHMIDT,4,1329.4,1393.3,71,162.5,60.1,HF
Sarah IVERSEN,6,1329.3,1397.7,155,173.5,59.1,ST
Tyra AXNÉR,3,1329.3,1462.3,79,233.8,98.1,PL
Morten JØRGENSEN,6,1328.9,1455.7,72,199.7,101.2,VF
Maria LYKKEGAARD,8,1328.3,1397.9,158,172.8,65.6,ST
Jorn SMITS,4,1328.0,1402.3,77,189.5,79.6,PL
Maja Munch LAURSEN,5,1327.1,1393.4,81,184.5,69.8,VF
Mads Øris NIELSEN,4,1327.0,1389.6,99,144.9,52.2,PL
Nikolaj ENDERLEIT,6,1326.9,1456.1,80,226.3,68.6,PL
Henriette HANSEN,7,1326.6,1419.0,134,206.5,72.4,HF
Frederik IVERSEN,5,1326.2,1408.0,104,46.8,64.2,VF
Alberte EBLER,5,1325.8,1446.0,98,151.0,77.5,HB
Buster JUUL,8,1325.7,1394.1,128,123.6,52.0,VF
Ágúst Eli BJÖRGVINSSON,3,1325.3,1393.4,35,120.4,50.4,MV
Stine Nørklit LØNBORG,4,1324.3,1414.8,88,157.4,66.1,PL
Helene KINDBERG,7,1324.2,1532.5,149,331.8,100.1,HB
Vilde Ingeborg JOHANSEN,4,1324.2,1404.2,94,170.8,62.1,ST
Anders ZACHARIASSEN,5,1324.2,1422.2,79,178.9,61.0,ST
Charlotte MIKKELSEN,3,1324.1,1368.1,43,116.3,51.5,HF
Sofie Brems ØSTERGAARD,5,1323.7,1391.4,83,148.7,61.5,HF
Elma HALILCEVIC,8,1323.6,1439.7,141,186.6,78.1,VF
Jacob BAGERSTED,3,1323.6,1363.5,69,84.4,34.6,ST
Sofie ALNOR,5,1322.8,1359.7,57,3.0,26.1,VF
Laura Damgaard LUND,4,1322.6,1384.2,65,99.5,38.7,PL
Line SKAK,6,1322.2,1401.8,97,157.4,64.0,ST
Carin STRÖMBERG,4,1321.9,1403.3,100,164.6,60.1,PL
Benjamin JAKOBSEN,7,1321.5,1412.7,107,112.2,63.5,ST
Mike HAACK,4,1321.4,1410.6,72,190.5,87.2,HF
Sebastian HENNEBERG,7,1320.9,1415.2,92,57.5,69.6,PL
Julie PONTOPPIDAN,5,1320.5,1440.4,83,238.7,81.3,PL
Marcus MIDTGAARD,4,1320.3,1411.5,92,189.9,70.0,PL
Frederik BJERRE,4,1320.0,1411.3,81,210.0,80.8,VF
Henrik TILSTED,7,1319.8,1404.2,119,119.0,54.3,VF
Henrik JAKOBSEN,4,1319.4,1411.5,114,115.1,61.7,ST
Emilie Bastrup BERTELSEN,5,1319.3,1370.2,97,115.4,42.2,VF
Christian JENSEN,6,1319.0,1364.5,87,108.3,32.5,HF
Natasja ANDREASEN,7,1319.0,1408.0,100,183.1,75.9,PL
Melina KRISTENSEN,5,1319.0,1467.8,86,60.0,86.5,HF
Svend RUGHAVE,5,1317.2,1358.4,31,88.6,34.9,MV
Andreas Holst JENSEN,4,1317.1,1395.3,89,-34.5,51.2,VB
Kasper KILDELUND,5,1315.5,1357.7,80,105.0,34.8,HF
Kristian BONEFELD,8,1315.4,1365.2,104,89.4,43.9,PL
Josip CAVAR,6,1315.4,1334.3,62,75.6,26.9,MV
Kasper KVIST,4,1315.1,1365.9,81,-32.9,39.8,VF
Nina DANO,3,1315.1,1326.0,53,24.7,10.3,PL
Mathias GIDSEL,5,1315.0,1415.5,86,211.3,81.6,PL
Louise FØNS,6,1314.7,1386.2,113,163.6,59.1,VF
Mathilda LUNDSTRØM,3,1314.7,1348.9,54,86.1,37.3,HF
Marit Malm FRAFJORD,4,1313.8,1398.3,72,193.3,74.3,ST
Laura DAMGAARD,4,1313.5,1349.1,57,109.3,44.6,PL
Helena ELVER,6,1313.4,1365.9,134,85.7,50.8,PL
Thor CHRISTENSEN,6,1312.9,1389.4,89,172.0,79.4,ST
Cecilie BRANDT,5,1312.5,1378.4,91,173.4,65.6,HF
Nicoline Nørgaard OLSEN,3,1312.2,1341.0,62,76.1,33.7,HB
Rasmus HENRIKSEN,4,1312.0,1336.1,37,65.7,26.5,MV
Mathilde KRISTENSEN,6,1311.9,1359.1,92,135.5,46.4,ST
Simon BIRKEFELDT,5,1311.8,1374.4,71,141.0,67.3,HB
Jonathan WÜRTZ,6,1311.6,1401.5,78,118.1,58.9,PL
Maria HOLM,4,1311.4,1439.3,82,212.0,82.9,HB
Salah BOUTAF,6,1311.1,1345.5,73,133.3,50.3,MV
Jesper NIELSEN,3,1310.7,1342.3,59,76.7,32.7,ST
Johan SJÖSTRAND,4,1310.5,1332.4,24,58.1,25.7,MV
Jacob HESSELLUND,4,1310.4,1389.2,73,138.3,53.6,VF
Mads HOXER,4,1309.1,1414.0,73,211.2,75.8,PL
Magnus NORLYK,3,1308.9,1378.5,52,149.6,61.5,VF
Oliver WOSNIAK,3,1308.8,1381.0,42,179.8,77.6,PL
Rikke JOCHUMSEN,4,1308.8,1357.0,82,121.2,46.8,VF
Jesper MUNK,3,1308.6,1365.9,69,112.3,45.9,ST
Annika MEYER,6,1308.3,1388.7,118,181.2,65.6,ST
Nicolaj SPANGGAARD,7,1308.0,1429.1,149,195.4,73.0,HB
Amanda Loft HANSEN,4,1308.0,1362.1,58,161.1,63.2,ST
Katarina BERENS,4,1308.0,1336.9,56,76.4,31.9,ST
Tim SØRENSEN,3,1307.4,1340.7,56,83.3,36.0,HF
Marigona HAJDARI,6,1306.8,1384.0,114,172.5,68.0,PL
Lars MOUSING,5,1306.7,1374.2,117,46.0,47.2,ST
Ida-Marie DAHL,4,1306.4,1368.2,107,37.1,45.2,ST
Anne Christine BOSSEN,3,1305.3,1321.8,13,41.1,17.7,MV
Hjalte LYKKE,4,1305.1,1409.9,45,209.6,75.9,PL
Kristoffer VESTERGAARD,5,1304.9,1557.4,101,356.1,133.5,PL
René Toft HANSEN,5,1304.6,1326.1,73,89.2,35.2,ST
Rasmus MADSBØLL,4,1304.6,1394.3,39,174.7,62.1,VF
Mads LENBROCH,3,1303.5,1373.1,47,162.0,68.1,VF
Søren NØRGAARD,3,1303.3,1326.6,45,41.2,17.2,VF
Caroline SVARRE,7,1303.0,1367.7,93,149.6,50.5,ST
Andrea HANSEN,4,1302.2,1378.5,86,-44.7,56.1,HF
Kasper Emil KILDELUND,3,1301.6,1342.5,73,87.7,36.0,HF
Mathilde STORGAARD,7,1301.6,1378.4,86,172.3,59.2,ST
Majbritt Toft HANSEN,7,1301.2,1409.0,120,72.3,60.3,ST
Mathilde ORKILD,5,1300.8,1395.8,73,168.5,73.0,HF
Tobias JØRGENSEN,4,1300.6,1357.3,101,105.9,38.1,PL
Marinus MUNK,3,1300.3,1379.6,51,174.4,72.1,PL
Kasper KISUM,4,1300.2,1383.5,91,-9.6,52.0,PL
Emilie Ytting PEDERSEN,6,1300.0,1387.7,104,72.9,59.1,VF
Magnus BRANDBYGE,4,1299.6,1332.9,30,72.1,31.9,MV
Louise SØNDERGAARD,3,1299.5,1393.6,60,186.8,76.3,HB
Victor NORLYK,3,1299.5,1361.3,69,131.7,54.1,PL
Nikolaj SVALASTOG,4,1299.4,1359.3,73,126.4,49.0,VF
Mikkel Møller LØVKVIST,3,1299.2,1336.4,15,76.2,31.1,MV
Emil JENSEN,4,1298.7,1350.3,53,139.4,53.4,PL
August FRIDÉN,4,1298.6,1343.1,29,133.1,55.2,VF
Emma LAURSEN,6,1298.4,1408.5,98,208.0,87.3,HF
Anton BRAMMING,6,1298.4,1358.8,83,144.5,56.1,VF
Nikolaj LARSSON,3,1298.4,1367.4,66,137.4,56.1,HB
Katrine JACOBSEN,3,1298.3,1357.1,40,155.6,69.0,ST
Stine ANDERSEN,4,1298.2,1329.6,70,59.5,21.1,HF
Sebastian AUGUSTINUSSEN,5,1298.1,1350.3,102,103.7,38.6,HF
Anna LAGERQUIST,3,1297.7,1365.8,57,161.6,68.4,ST
Nadia OFFENDAL,3,1297.2,1348.4,68,122.3,51.9,PL
Kathrine HEINDAHL,6,1297.1,1373.5,104,65.5,46.3,ST
Søren RASMUSSEN,4,1297.1,1331.1,21,58.6,29.0,MV
Hakan SAHIN,4,1296.9,1363.6,50,157.7,58.7,ST
Allan Toft HANSEN,6,1296.6,1332.1,85,81.0,34.1,ST
Stefan NIELSEN,3,1296.4,1312.1,57,34.4,17.9,PL
Christina WILDBORK,3,1296.4,1325.5,52,87.0,40.9,VB
Emil Wernsdorf MADSEN,3,1296.0,1382.9,54,183.2,75.1,PL
Matthias DORGELO,3,1296.0,1328.3,15,72.7,30.2,MV
Pernille JOHANNSEN,6,1295.6,1353.7,64,147.2,50.9,HF
Thea Hamann RASMUSSEN,3,1295.5,1342.3,41,132.9,63.6,PL
Mathias HEDEGAARD,5,1295.3,1361.3,95,120.3,54.2,ST
Jonathan STENBÄCKEN,4,1295.2,1318.0,71,46.6,16.5,ST
Kasper DIDRIKSEN,3,1294.9,1352.5,65,130.3,54.2,ST
Olafur GUSTAFSSON,3,1294.5,1317.1,41,52.1,26.6,PL
Matilde KONDRUP NIELSEN,3,1294.5,1331.1,21,76.9,31.5,VF
Sofia HVENFELT,3,1294.3,1354.4,65,119.8,48.9,ST
Clara Skyum THOMSEN,4,1293.0,1363.3,82,138.0,59.4,HB
Catharina MOLENAAR,3,1292.9,1374.4,73,154.8,63.5,PL
Hege Bakken WAHLQUIST,4,1292.8,1372.2,66,161.6,61.7,VF
Morten Kirk OLESEN,3,1292.7,1305.2,54,28.2,11.7,PL
Mads CHRISTIANSEN,4,1292.2,1338.9,76,102.2,40.5,HB
Sophia SNOGDAL,6,1291.5,1370.4,80,155.9,68.4,VF
Mette Brandt NIELSEN,4,1291.2,1321.9,46,-19.0,22.8,ST
Mathias PORSHOLDT,5,1291.1,1342.6,85,112.8,42.0,ST
Julie GANTZEL,3,1291.1,1321.0,59,80.0,35.7,ST
Katrine LARSON,5,1291.0,1337.5,65,118.4,45.6,PL
Angelica WALLÉN,4,1290.8,1340.7,60,133.7,51.2,ST
Sebastian FRANDSEN,5,1289.5,1346.8,25,139.4,51.3,MV
Lasse BALSTAD,4,1289.5,1324.1,32,116.9,49.4,ST
Jens Svane PESCHARDT,3,1289.2,1358.4,62,135.9,55.5,PL
Joachim Lyng ALS,4,1289.1,1359.6,39,153.6,56.2,VF
Sara LILHOLT,3,1288.3,1325.5,21,110.1,51.6,ST
René ANTONSEN,3,1288.1,1318.7,60,81.2,36.0,ST
Leonora DEMAJ,3,1287.4,1339.0,69,115.7,48.0,PL
Jane SCHUMACHER,3,1287.3,1330.4,47,96.7,40.2,PL
Simon GADE,6,1287.2,1372.4,55,165.9,56.2,MV
Frederik ARNOLDSEN,4,1286.6,1336.8,52,123.2,45.9,ST
Matilde VESTERGAARD,3,1286.6,1344.5,50,132.9,55.6,VF
Nicoline LAURITSEN,3,1286.4,1358.2,29,157.4,65.0,HF
Pelle Schilling GULDAGER,3,1286.2,1311.5,48,51.9,21.2,VF
Robin HAUG,4,1286.2,1309.9,20,48.8,19.6,MV
