team_code,season,team_name,league,total_players,avg_rating,file,is_conflict,is_problem,problem_type,leagues_for_code
AAU,2017-2018,Aalborg Universitet Håndbold,Herreliga,10,1201.1,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
AAU,2018-2019,Aalborg Universitet Håndbold,Herreliga,19,1262.6,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
AAU,2019-2020,Aalborg Universitet Håndbold,Herreliga,17,1288.9,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
AAU,2020-2021,Aalborg Universitet Håndbold,Herreliga,14,1306.8,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
AAU,2021-2022,Aalborg Universitet Håndbold,Herreliga,14,1316.6,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
AAU,2022-2023,Aalborg Universitet Håndbold,Herreliga,16,1333.2,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
AAU,2023-2024,Aalborg Universitet Håndbold,Herreliga,16,1309.1,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
LTH,2018-2019,Lemvig-Thyborøn Håndbold,Herreliga,15,1258.6,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
LTH,2019-2020,Lemvig-Thyborøn Håndbold,Herreliga,16,1303.1,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
LTH,2020-2021,Lemvig-Thyborøn Håndbold,Herreliga,18,1319.0,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
LTH,2021-2022,Lemvig-Thyborøn Håndbold,Herreliga,22,1302.7,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
LTH,2022-2023,Lemvig-Thyborøn Håndbold,Herreliga,19,1336.3,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
LTH,2023-2024,Lemvig-Thyborøn Håndbold,Herreliga,17,1313.6,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
TMH,2018-2019,TMS Ringsted,Herreliga,19,1247.2,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
TMH,2020-2021,TMS Ringsted,Herreliga,21,1237.4,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
TMH,2021-2022,TMS Ringsted,Herreliga,26,1266.0,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
TMH,2023-2024,TMS Ringsted,Herreliga,21,1270.9,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
TMH,2024-2025,TMS Ringsted,Herreliga,20,1305.1,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
AJX,2018-2019,Ajax København,Herreliga,15,1244.0,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
AJX,2019-2020,Ajax København,Herreliga,14,1281.0,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
AJX,2020-2021,Ajax København,Herreliga,27,1252.6,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
AJX,2021-2022,Ajax København,Herreliga,18,1284.0,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
AJX,2022-2023,Ajax København,Herreliga,18,1284.3,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
AJX,2023-2024,Ajax København,Herreliga,16,1267.2,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
FHK,2019-2020,Fredericia Håndbold Klub,Herreliga,18,1240.5,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
FHK,2020-2021,Fredericia Håndbold Klub,Herreliga,17,1297.8,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
FHK,2021-2022,Fredericia Håndbold Klub,Herreliga,21,1330.8,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
FHK,2022-2023,Fredericia Håndbold Klub,Herreliga,19,1346.0,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
FHK,2023-2024,Fredericia Håndbold Klub,Herreliga,18,1336.2,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
FHK,2024-2025,Fredericia Håndbold Klub,Herreliga,26,1293.1,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
SFH,2020-2021,Silkeborg fH,Herreliga,8,1206.4,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
SFH,2021-2022,Silkeborg fH,Herreliga,17,1274.8,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
SFH,2023-2024,Silkeborg fH,Herreliga,11,1213.8,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
SFH,2024-2025,Silkeborg fH,Herreliga,14,1274.3,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
TSY,2022-2023,Team Sydhavsøerne,Herreliga,10,1214.5,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
SAH,2024-2025,SAH - Skanderborg AGF,Herreliga,16,1360.7,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
GIF,2024-2025,Grindsted GIF Håndbold,Herreliga,18,1274.6,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
SJK,2017-2018,SønderjyskE Kvindehåndbold,Kvindeliga,15,1251.2,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
SJK,2018-2019,SønderjyskE Kvindehåndbold,Kvindeliga,16,1306.6,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
SJK,2019-2020,SønderjyskE Kvindehåndbold,Kvindeliga,17,1312.1,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
SJK,2020-2021,SønderjyskE Kvindehåndbold,Kvindeliga,24,1276.2,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
SJK,2021-2022,SønderjyskE Kvindehåndbold,Kvindeliga,17,1327.3,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
SJK,2022-2023,SønderjyskE Kvindehåndbold,Kvindeliga,35,1313.0,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
SJK,2023-2024,SønderjyskE Kvindehåndbold,Kvindeliga,34,1314.8,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
SJK,2024-2025,SønderjyskE Kvindehåndbold,Kvindeliga,32,1329.4,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
TES,2017-2018,Team Esbjerg,Kvindeliga,13,1222.8,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
TES,2018-2019,Team Esbjerg,Kvindeliga,16,1261.8,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
TES,2019-2020,Team Esbjerg,Kvindeliga,15,1299.7,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
TES,2020-2021,Team Esbjerg,Kvindeliga,16,1331.9,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
TES,2021-2022,Team Esbjerg,Kvindeliga,21,1314.9,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
TES,2022-2023,Team Esbjerg,Kvindeliga,17,1356.3,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
TES,2023-2024,Team Esbjerg,Kvindeliga,16,1365.4,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
TES,2024-2025,Team Esbjerg,Kvindeliga,21,1323.8,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
VHK,2017-2018,Viborg HK,Kvindeliga,14,1218.2,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
VHK,2018-2019,Viborg HK,Kvindeliga,16,1262.2,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
VHK,2019-2020,Viborg HK,Kvindeliga,18,1281.5,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
VHK,2020-2021,Viborg HK,Kvindeliga,17,1310.2,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
