match,time,action,position,team,home_score,away_score,base_weight,time_mult,score_mult,pos_mult,context_mult,total_weight,elite_status,elite_multiplier,rating_change,old_rating,new_rating,goalkeeper_penalty,player_name,season,league,action_type
GOG vs SAH,54.48,Mål,PL,SAH,29,16,65,1.4,0.65,1.0,1.4500000000000004,85.76750000000003,NORMAL,1.0,0.6861400000000002,1503.8699710000017,1504.5561110000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,7.20,Skud blokeret,PL,SAH,3,4,-8,1.0,1.5,1.0,1.215,-14.580000000000002,NORMAL,1.0,-0.11664000000000002,1500.5445660000019,1500.427926000002,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
GOG vs SAH,8.53,Skud blokeret,VB,SAH,5,4,-8,1.0,1.5,1.0,1.215,-14.580000000000002,NORMAL,1.0,-0.11664000000000002,1500.427926000002,1500.311286000002,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
KIF Kolding vs SAH,3.05,Regelfejl,PL,SAH,0,0,-22,1.0,1.7,1.0,1.32,-49.368,NORMAL,1.0,-0.394944,1497.0456300000014,1496.6506860000015,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
KIF Kolding vs SAH,4.07,Skud forbi,PL,SAH,1,0,-15,1.0,1.5,1.0,1.245,-28.012500000000003,NORMAL,1.0,-0.22410000000000002,1496.6506860000015,1496.4265860000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
KIF Kolding vs SAH,59.50,Mål,VB,SAH,26,31,65,1.8,1.2,1.0,1.5250000000000001,214.11,NORMAL,1.0,1.7128800000000002,1497.5056860000018,1499.2185660000018,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
KIF Kolding vs SAH,6.41,Skud på stolpe,PL,SAH,2,1,-5,1.0,1.5,1.0,1.215,-9.1125,NORMAL,1.0,-0.0729,1496.4265860000016,1496.3536860000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
KIF Kolding vs SAH,8.30,Mål på straffe,PL,SAH,3,2,60,1.0,1.5,1.0,1.6000000000000003,144.00000000000003,NORMAL,1.0,1.1520000000000004,1496.3536860000017,1497.5056860000018,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,11.28,Mål,VF,SAH,6,7,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1282.3568644000006,1283.3123644000007,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,13.32,Mål,VB,SAH,7,8,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1283.3123644000007,1284.2678644000007,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,21.56,Mål,PL,SAH,11,13,65,1.0,1.5,1.0,1.1500000000000001,112.12500000000001,NORMAL,1.0,0.8970000000000001,1284.2678644000007,1285.1648644000006,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,27.17,Skud forbi,PL,SAH,13,14,-15,1.4,1.5,1.0,1.345,-42.3675,NORMAL,1.0,-0.33894,1285.1648644000006,1284.8259244000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
Lemvig-Thyborøn Håndbold vs SAH,4.50,Regelfejl,PL,SAH,1,2,-22,1.0,1.5,1.0,1.245,-41.085,NORMAL,1.0,-0.32868,1282.0147444000006,1281.6860644000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
Lemvig-Thyborøn Håndbold vs SAH,42.01,Mål,PL,SAH,19,22,65,1.2,1.2,1.0,1.125,105.3,NORMAL,1.0,0.8424,1284.8259244000005,1285.6683244000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,55.22,Mål,VF,SAH,26,27,65,2.4,1.5,1.0,1.5750000000000002,368.55000000000007,NORMAL,1.0,2.948400000000001,1285.6683244000005,1288.6167244000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Lemvig-Thyborøn Håndbold vs SAH,6.33,Mål,PL,SAH,1,4,65,1.0,1.2,1.0,1.075,83.85,NORMAL,1.0,0.6708,1281.6860644000005,1282.3568644000006,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,0.47,Mål,PL,SAH,0,1,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1504.5561110000017,1505.5116110000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,14.18,Straffekast reddet,PL,SAH,6,7,120,1.0,1.5,1.0,1.225,220.50000000000003,NORMAL,1.0,1.7640000000000002,1507.8666110000017,1509.6306110000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,26.03,Skud på stolpe,PL,SAH,12,10,-5,1.4,1.5,1.0,1.2400000000000002,-13.020000000000003,NORMAL,1.0,-0.10416000000000003,1509.6306110000016,1509.5264510000015,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
Mors-Thy Håndbold vs SAH,3.54,Mål,PL,SAH,3,3,65,1.0,1.7,1.0,1.5000000000000002,165.75000000000003,NORMAL,1.0,1.3260000000000003,1505.5116110000017,1506.8376110000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,31.23,Mål,PL,SAH,14,14,65,1.0,1.7,1.0,1.5000000000000002,165.75000000000003,NORMAL,1.0,1.3260000000000003,1509.5264510000015,1510.8524510000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,34.04,Mål,PL,SAH,15,16,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1510.8524510000016,1511.8079510000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,35.09,Mål,VB,SAH,16,17,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1511.8079510000016,1512.7634510000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,37.31,Fejlaflevering,PL,SAH,17,18,-30,1.0,1.5,1.0,1.245,-56.025000000000006,NORMAL,1.0,-0.44820000000000004,1512.7634510000016,1512.3152510000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
Mors-Thy Håndbold vs SAH,38.15,Mål,VF,SAH,18,19,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1512.3152510000016,1513.2707510000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,43.56,Skud reddet,PL,SAH,22,20,70,1.2,1.5,1.0,1.2000000000000002,151.20000000000002,NORMAL,1.0,1.2096000000000002,1513.2707510000016,1514.4803510000015,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,49.01,Mål,VB,SAH,25,24,65,1.5,1.5,1.0,1.7250000000000003,252.28125000000006,NORMAL,1.0,2.0182500000000005,1514.4803510000015,1516.4986010000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,51.17,Mål,PL,SAH,26,26,65,1.4,1.7,1.0,1.7000000000000002,262.99,NORMAL,1.0,2.10392,1516.4986010000016,1518.6025210000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
