season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2022-2023,Lasse Sunesen VILHELMSEN,1200.0,1200.1,0.1,1,HB,Højre back,False,NORMAL,1.0,3,0.1,NORMAL
2022-2023,Christian Ganderup NIELSEN Retur,1200.0,1200.0,-0.0,1,ST,Streg,False,NORMAL,1.0,1,-0.0,NORMAL
2022-2023,Marianne Lundsby THOMSEN,1200.0,1199.9,-0.1,1,MV,Målvogter,True,NORMAL,1.0,1,-0.1,NORMAL
2022-2023,Andreas MADSEN,1200.0,1199.9,-0.1,1,PL,Playmaker,False,NORMAL,1.0,1,-0.1,NORMAL
2022-2023,Frederik Møller CHRISTOFFERSEN,1200.0,1199.8,-0.2,1,PL,Playmaker,False,NORMAL,1.0,1,-0.2,NORMAL
2022-2023,Maiken Skov NIELSEN,1200.0,1199.8,-0.2,1,HF,Højre fløj,False,NORMAL,1.0,2,-0.2,NORMAL
2022-2023,Annika PETERSEN,1200.0,1199.7,-0.3,1,MV,Målvogter,True,NORMAL,1.0,1,-0.3,NORMAL
2022-2023,Oliver LARSEN,1200.0,1199.6,-0.4,1,MV,Målvogter,True,NORMAL,1.0,1,-0.4,NORMAL
2022-2023,Ida Marie KAYSEN,1200.0,1199.5,-0.5,1,MV,Målvogter,True,NORMAL,1.0,1,-0.5,NORMAL
2022-2023,Mathilde JUNCKER,1200.0,1199.2,-0.8,3,MV,Målvogter,True,NORMAL,0.998,3,-0.26666666666666666,NORMAL
2022-2023,Andrea AUSTMO,1200.0,1197.4,-2.6,2,MV,Målvogter,True,NORMAL,0.999,13,-1.3,NORMAL
2022-2023,Alberte Stenderup RASMUSSEN,1200.0,1191.4,-8.6,6,MV,Målvogter,True,NORMAL,0.998,30,-1.4333333333333333,NORMAL
