Player,FinalRating
GIF_18_Morten BJØRNSHAUGE,1530.00
FHK_18_Edwin ASPENBÄCK,1530.00
SAH_19_René Toft HANSEN,1530.00
SAH_22_Anders ZACHARIASSEN,1530.00
SKH_41_Evgeni PEVNOV,1530.00
TTH_19_René Toft HANSEN,1530.00
GIF_42_Matias CAMPBELL,1530.00
REH_5_Julius MØRCH,1530.00
GIF_28_Morten KAALUND,1530.00
SKH_19_René Toft HANSEN,1530.00
FHK_13_Mathias HEDEGAARD,1530.00
FHK_4_Lars SKAARUP,1530.00
MTH_20_Felix MÖLLER,1530.00
SKH_9_Henrik JAKOBSEN,1530.00
MTH_13_Mathias HEDEGAARD,1530.00
KIF_7_Nichlas HALD,1530.00
NSH_81_Tobias NIELSEN,1530.00
FHK_33_Ebbe STANKIEWICZ,1530.00
MTH_14_Rasmus MADSBØLL,1530.00
NSH_4_Kasper LINDGREN,1530.00
KIF_66_Anton LINDSKOG,1530.00
TMS_17_Kristian Krag ØRSTED,1530.00
SAH_6_Sebastian BARTHOLD,1530.00
FHK_81_Tobias NIELSEN,1530.00
SKH_17_Kristian Krag ØRSTED,1530.00
KIF_7_William AAR,1530.00
REH_14_Alexander LYNGGAARD,1530.00
SAH_18_Morten BJØRNSHAUGE,1530.00
NSH_97_Reinier TABOADA,1530.00
FHK_13_Gustav BRUUN,1530.00
GOG_20_Felix MÖLLER,1530.00
GIF_7_William AAR,1530.00
REH_25_Anders AGGER,1530.00
BSH_97_Reinier TABOADA,1530.00
GOG_2_Joachim MØLLER,1530.00
MTH_14_Alexander LYNGGAARD,1530.00
KIF_11_Nicolaj JØRGENSEN,1530.00
TTH_97_Reinier TABOADA,1530.00
BSH_6_Kristian BONEFELD,1530.00
AAH_7_William AAR,1530.00
FHK_31_William ANDERSSON MOBERG20,1528.00
FHK_31_William ANDERSSON MOBERG64,1528.00
MTH_22_Gustav SUNESEN,1526.00
SAH_19_Thor CHRISTENSEN,1526.00
MTH_18_Anton HOUE,1524.00
SJE_22_Magnus HOLPERT,1522.00
BSH_71_Alexander BLONZ,1520.00
MTH_6_Kristian BONEFELD,1520.00
SAH_23_Henrik TILSTED,1520.00
SAH_7_Nichlas HALD,1520.00
NSH_28_Lauritz LEGÉR,1520.00
NSH_13_Mathias HEDEGAARD,1520.00
NSH_2_Mads KRAGH THOMSEN,1520.00
GIF_6_Nikolaj SVALASTOG,1520.00
TTH_13_Lasse BALSTAD,1520.00
REH_20_Felix MÖLLER,1520.00
REH_22_Rene ANTONSEN,1520.00
SKH_2_Joachim MØLLER,1520.00
MTH_7_William AAR,1520.00
KIF_6_Jonathan WÜRTZ,1520.00
NSH_29_Magnus FREDRIKSEN,1520.00
TMS_18_Aleks VLAH,1520.00
TMS_7_Thomas ARNOLDSEN,1520.00
GOG_25_Jeppe CIESLAK,1520.00
SAH_3_Nicolai PEDERSEN,1520.00
TMS_13_Mathias HEDEGAARD,1520.00
BSH_18_Edwin ASPENBÄCK,1520.00
GIF_13_Gustav BRUUN,1520.00
MTH_13_Noah GAUDIN,1520.00
SKH_15_Henrik Toft HANSEN,1520.00
MTH_14_Emil BERGHOLT,1520.00
FHK_20_Felix MÖLLER,1520.00
FHK_7_Thomas ARNOLDSEN,1520.00
AAH_97_Reinier TABOADA,1520.00
AAH_23_Einar ÓLAFSSON,1520.00
SJE_24_Simon OOMS,1520.00
TTH_8_Frederik TILSTED,1520.00
BSH_14_Emil BERGHOLT,1520.00
SKH_14_Alexander LYNGGAARD,1520.00
BSH_18_Vetle RØNNINGEN,1520.00
FHK_8_Mads Emil MØLLER,1520.00
KIF_93_Anders MARTINUSEN,1520.00
AAH_17_Malthe BULL,1520.00
SKH_66_Anton LINDSKOG,1520.00
AAH_14_Alexander LYNGGAARD,1520.00
TMS_21_Tim RANTALA,1520.00
KIF_9_Henrik JAKOBSEN,1520.00
GIF_22_Axel ANDERSSON,1520.00
SAH_11_Simon HALD,1520.00
SAH_20_Felix MÖLLER,1520.00
SAH_4_Patrick WIESMACH,1520.00
KIF_25_Jeppe CIESLAK,1520.00
SAH_28_Lauritz LEGÉR,1520.00
BSH_17_Assar KAMMENHED,1520.00
MTH_6_Jonathan WÜRTZ,1520.00
TMS_41_Evgeni PEVNOV,1520.00
TMS_13_Lasse BALSTAD,1520.00
TTH_2_Mads KRAGH THOMSEN,1520.00
NSH_9_Henrik JAKOBSEN,1520.00
BSH_6_Jonathan WÜRTZ,1520.00
TMS_15_Henrik Toft HANSEN,1520.00
AAH_21_René RASMUSSEN,1520.00
KIF_23_Mads LENBROCH,1520.00
KIF_19_René Toft HANSEN,1520.00
TMS_14_Alexander LYNGGAARD,1520.00
FHK_3_Carl-Emil HAUNSTRUP,1520.00
AAH_71_Alexander BLONZ,1520.00
MTH_2_Tobias Gregers SCHMIDT,1520.00
GIF_23_Henrik TILSTED,1520.00
SAH_31_Morten JØRGENSEN,1520.00
SAH_49_Karl WALLINIUS,1520.00
FHK_23_Mads LENBROCH,1520.00
KIF_6_Sebastian BARTHOLD,1520.00
NSH_14_Emil BERGHOLT,1520.00
REH_13_Noah GAUDIN,1520.00
AAH_42_Matias CAMPBELL,1520.00
GOG_26_Peter BALLING,1520.00
TTH_16_Andreas HAAGEN,1520.00
MTH_19_Thor CHRISTENSEN,1520.00
TMS_21_René RASMUSSEN,1520.00
BSH_19_Thor CHRISTENSEN,1520.00
FHK_13_Noah GAUDIN,1520.00
SKH_23_Einar ÓLAFSSON,1520.00
AAH_13_Lasse BALSTAD,1520.00
SJE_4_Elvar ASGEIRSSON,1520.00
GOG_19_Thor CHRISTENSEN,1520.00
TMS_5_Oliver NORLYK,1520.00
SAH_7_Jakob VILLEMOES,1520.00
SKH_22_Anders ZACHARIASSEN,1520.00
SKH_23_Mads LENBROCH,1520.00
TMS_33_Ebbe STANKIEWICZ,1520.00
GOG_28_Kevin GULLIKSEN,1520.00
FHK_11_Nicolaj JØRGENSEN,1520.00
BSH_20_Felix MÖLLER,1520.00
KIF_10_Mads Svane KNUDSEN,1520.00
KIF_25_Magnus NORLYK,1520.00
REH_2_Joachim MØLLER,1520.00
BSH_6_Jonas TIDEMAND,1520.00
TTH_14_Emil BERGHOLT,1520.00
FHK_17_Andreas SØGAARD,1520.00
FHK_8_Simon BIRKEFELDT,1520.00
REH_23_Einar ÓLAFSSON,1520.00
NSH_26_Peter BALLING,1520.00
KIF_28_Morten KAALUND,1520.00
SAH_18_Benjamin PEDERSEN,1520.00
SJE_7_Lasse VILHELMSEN,1520.00
FHK_7_Christoffer DREYER,1520.00
GIF_24_Mads JØRGENSEN,1516.00
TTH_24_Jon Isak HALLDORSSON,1516.00
GOG_11_Kasper Dahl JACOBSEN,1516.00
TMS_9_Rasmus WINTHER,1516.00
SJE_11_Magnus KRONBORG,1514.00
NSH_Malte EICHHORST_Gustav BRUUN,1514.00
BSH_13_Andreas NIELSEN,1510.00
GOG_23_Mads LENBROCH,1510.00
NSH_29_Viktor NEVERS,1510.00
